search URL:,https://patents.google.com/?assignee=Apple+Computer%252c+Inc.
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2006330724-B2,Unlocking a device by performing gestures on an unlock image ,Apple Inc.,"Freddy A. Anzures, Imran Chaudhri, Greg Christie, Scott Forstall, Stephen O. Lemay, Bas Ording, Marcel Van Os",2005-12-23,2006-11-30,2009-12-03,2009-12-03,https://patents.google.com/patent/AU2006330724B2/en,
US-2006026535-A1,Mode-based graphical user interfaces for touch sensitive input devices ,Apple Computer Inc.,"Steve Hotelling, Brian Huppi, Joshua Strickon, Duncan Kerr, Bas Ording, Imran Chaudhri, Greg Christie, Jonathan Ive",2004-07-30,2005-01-18,2006-02-02,,https://patents.google.com/patent/US20060026535A1/en,https://patentimages.storage.googleapis.com/83/eb/23/5f233c1e24e91d/US20060026535A1-20060202-D00000.png
US-2006097991-A1,Multipoint touchscreen ,"Apple Computer, Inc.","Steve Hotelling, Joshua Strickon, Brian Huppi",2004-05-06,2004-05-06,2006-05-11,,https://patents.google.com/patent/US20060097991A1/en,https://patentimages.storage.googleapis.com/40/f0/bc/6b5264e1a21eed/US20060097991A1-20060511-D00000.png
CA-2845297-C,Portable electronic device with interface reconfiguration mode ,"Apple Computer, Inc., Marcel Van Os, Freddy A. Anzures, Scott Forstall, Greg Christie, Bas Ording, Imran Chaudhri, Stephen O. Lemay, Apple Inc.","Marcel Van Os, Freddy A. Anzures, Scott Forstall, Greg Christie, Bas Ording, Imran Chaudhri, Stephen O. Lemay",2005-12-30,2006-12-28,2015-08-11,2015-08-11,https://patents.google.com/patent/CA2845297C/en,
US-7046230-B2,Touch pad handheld device ,"Apple Computer, Inc.","Stephen Paul Zadesky, Tang Yew Tan",2001-10-22,2002-07-01,2006-05-16,2006-05-16,https://patents.google.com/patent/US7046230B2/en,https://patentimages.storage.googleapis.com/US7046230B2/US07046230-20060516-D00000.png
US-7962637-B2,Dynamic adjustments of video streams ,"Apple Computer, Inc.","George P. Su, John K. Murata",2006-11-03,2006-11-03,2011-06-14,2011-06-14,https://patents.google.com/patent/US7962637B2/en,https://patentimages.storage.googleapis.com/65/af/5c/b5bf1697b37f3d/US07962637-20110614-D00000.png
US-7333092-B2,Touch pad for handheld device ,"Apple Computer, Inc.","Stephen Paul Zadesky, Tang Yew Tan",2002-02-25,2007-06-05,2008-02-19,2008-02-19,https://patents.google.com/patent/US7333092B2/en,https://patentimages.storage.googleapis.com/US7333092B2/US07333092-20080219-D00000.png
US-7166791-B2,Graphical user interface and methods of use thereof in a multimedia player ,"Apple Computer, Inc.","Jeffrey L. Robbin, Steve Jobs, Timothy Wasko, Greg Christie, Imran Chaudhri",2002-07-30,2002-10-28,2007-01-23,2007-01-23,https://patents.google.com/patent/US7166791B2/en,https://patentimages.storage.googleapis.com/US7166791B2/US07166791-20070123-D00000.png
US-7007062-B1,Methods and apparatuses for transferring data ,"Apple Computer, Inc.","Denis Serenyi, Chris LeCroy",2000-06-22,2001-01-08,2006-02-28,2006-02-28,https://patents.google.com/patent/US7007062B1/en,https://patentimages.storage.googleapis.com/US7007062B1/US07007062-20060228-D00000.png
US-6996624-B1,Reliable real-time transport protocol ,"Apple Computer, Inc.","Chris LeCroy, Gregory Vaughan",2001-09-27,2001-09-27,2006-02-07,2006-02-07,https://patents.google.com/patent/US6996624B1/en,https://patentimages.storage.googleapis.com/US6996624B1/US06996624-20060207-D00000.png
US-6728315-B2,Method and apparatus for variable accuracy inter-picture timing specification for digital video encoding with reduced requirements for division operations ,"Apple Computer, Inc.","Barin Geoffry Haskell, David William Singer, Adriana Dumitras, Atul Puri",2002-07-24,2002-12-06,2004-04-27,2004-04-27,https://patents.google.com/patent/US6728315B2/en,https://patentimages.storage.googleapis.com/ce/f6/39/1246d49e6da8a8/US06728315-20040427-D00000.png
US-7194035-B2,Method and apparatus for improved coding mode selection ,"Apple Computer, Inc.","Adriana Dumitras, Barin Geoffry Haskell, Atul Puri",2003-01-08,2003-07-07,2007-03-20,2007-03-20,https://patents.google.com/patent/US7194035B2/en,
US-D535308-S,Media device ,"Apple Computer, Inc.","Bartley K. Andre, Daniel J. Coster, Daniele De Iuliis, Richard P. Howarth, Steve Jobs, Jonathan P. Ive, Duncan Robert Kerr, Shin Nishibori, Matthew Dean Rohrbach, Douglas B. Satzger, Calvin Q. Seid, Christopher J. Stringer, Eugene Antony Whang, Rico Zörkendörfer",2004-12-23,2006-03-31,2007-01-16,2007-01-16,https://patents.google.com/patent/USD535308S1/en,https://patentimages.storage.googleapis.com/02/ba/93/954f54bf37c287/USD0535308-20070116-D00000.png
US-7831727-B2,Multi-content presentation of unassociated content types ,"Apple Computer, Inc.","Rainer Brodersen, Rachel Clare Goldeen, Jeffrey Ma, Mihnea Calin Pacurariu, Eric Taylor Seymour, Thomas Michael Madden",2006-09-11,2006-09-11,2010-11-09,2010-11-09,https://patents.google.com/patent/US7831727B2/en,https://patentimages.storage.googleapis.com/39/2e/2e/19d9b54e7e24e3/US07831727-20101109-D00000.png
US-6694435-B2,Method of obfuscating computer instruction streams ,"Apple Computer, Inc.",Raymond R. Kiddy,2001-07-25,2001-07-25,2004-02-17,2004-02-17,https://patents.google.com/patent/US6694435B2/en,https://patentimages.storage.googleapis.com/81/64/3f/65948402eb40bb/US06694435-20040217-D00000.png
US-6732265-B2,Computer operating system using compressed ROM image in RAM ,"Apple Computer, Inc.","Cameron J. Esfahani, Paul M. Resch, Ronald Hochsprung, William M. Galcher",1998-12-23,2002-06-27,2004-05-04,2004-05-04,https://patents.google.com/patent/US6732265B2/en,https://patentimages.storage.googleapis.com/00/ac/b9/18c60c629295cc/US06732265-20040504-D00000.png
US-6842332-B1,Magnetic securing system for a detachable input device ,"Apple Computer, Inc.","Benjamin Cory Rubenson, Harold J. Welch, Stephen Zadesky, David Lundgren",2001-01-04,2002-11-18,2005-01-11,2005-01-11,https://patents.google.com/patent/US6842332B1/en,https://patentimages.storage.googleapis.com/20/35/3e/8cde314bc3ee8a/US06842332-20050111-D00000.png
US-7047193-B1,Unsupervised data-driven pronunciation modeling ,"Apple Computer, Inc.",Jerome R. Bellegarda,2002-09-13,2002-09-13,2006-05-16,2006-05-16,https://patents.google.com/patent/US7047193B1/en,
