search URL:,https://patents.google.com/?assignee=Dell&oq=assignee:%28Dell%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9436390-B2,Virtual disk drive system and method ,Dell International L.L.C.,"Philip E. Soran, John P. Guider, Lawrence E. Aszmann, Michael J. Klemm",2003-08-14,2015-05-19,2016-09-06,2016-09-06,https://patents.google.com/patent/US9436390B2/en,https://patentimages.storage.googleapis.com/f6/0f/9d/7140a2f7484f35/US09436390-20160906-D00000.png
US-9984236-B2,System and method for pre-boot authentication of a secure client hosted virtualization in an information handling system ,"Dell Products, Lp","Yuan-Chang Lo, Shree Dandekar",2010-05-28,2015-07-31,2018-05-29,2018-05-29,https://patents.google.com/patent/US9984236B2/en,https://patentimages.storage.googleapis.com/18/4d/d9/2736060fcdce51/US09984236-20180529-D00000.png
US-9628375-B2,N-node link aggregation group (LAG) systems that can support various topologies ,Dell Products Lp,"Janardhanan Pathangi Narasimhan, Shivakumar Sundaram, Avinash Natarajan",2013-12-27,2016-04-18,2017-04-18,2017-04-18,https://patents.google.com/patent/US9628375B2/en,https://patentimages.storage.googleapis.com/02/86/b7/d099c93cc6ca7a/US09628375-20170418-D00000.png
US-9773526-B2,System for cooling hard disk drives using vapor momentum driven by boiling of dielectric liquid ,"Dell Products, L.P.","Austin Michael Shelnutt, James Don Curlee, Edmond I. Bailey, Richard Steven Mills",2013-02-01,2016-04-27,2017-09-26,2017-09-26,https://patents.google.com/patent/US9773526B2/en,https://patentimages.storage.googleapis.com/c1/e9/04/c2046b9b2b2c96/US09773526-20170926-D00000.png
US-9887917-B2,Port extender ,Dell Products L.P.,"Shivakumar Sundaram, Krishnamurthy Subramanian, Anoop Ghanwani, Pathangi Narasimhan Janardhanan, Mohnish Anumala, Raja Jayakumar",2013-03-12,2016-03-18,2018-02-06,2018-02-06,https://patents.google.com/patent/US9887917B2/en,https://patentimages.storage.googleapis.com/23/f3/16/5225618b1a955a/US09887917-20180206-D00000.png
US-9736234-B2,Routing of communications to one or more processors performing one or more services according to a load balancing function ,Aventail Llc,"Chris A. Hopen, Gary B. Tomlinson, John Brooke, Derek W. Brown, Jonathan Burdge, Rodger D. Erickson",2003-12-10,2016-01-26,2017-08-15,2017-08-15,https://patents.google.com/patent/US9736234B2/en,https://patentimages.storage.googleapis.com/0b/53/bd/9a3e91205532cc/US09736234-20170815-D00000.png
US-10143113-B2,"Partitioned, rotating condenser units to enable servicing of submerged IT equipment positioned beneath a vapor condenser without interrupting a vaporization-condensation cycling of the remaining immersion cooling system ","Dell Products, L.P.","Austin Michael Shelnutt, James Don Curlee, Richard Steven Mills",2013-02-01,2016-04-18,2018-11-27,2018-11-27,https://patents.google.com/patent/US10143113B2/en,https://patentimages.storage.googleapis.com/42/aa/9a/43894be1361192/US10143113-20181127-D00000.png
US-10069851-B2,Managing infectious forwarded messages ,Sonicwall Inc.,"Jennifer Rihn, Jonathan J. Oliver",2004-07-13,2016-01-11,2018-09-04,2018-09-04,https://patents.google.com/patent/US10069851B2/en,https://patentimages.storage.googleapis.com/90/81/9a/ce2d868983d902/US10069851-20180904-D00000.png
US-10296237-B2,"System and method for raid management, reallocation, and restripping ",Dell International L.L.C.,"Michael J. Klemm, Michael J. Uttormark",2006-05-24,2015-12-16,2019-05-21,2019-05-21,https://patents.google.com/patent/US10296237B2/en,https://patentimages.storage.googleapis.com/6d/a9/40/f3fc51c638b11e/US10296237-20190521-D00000.png
US-9715415-B2,Method of scheduling threads for execution on multiple processors within an information handling system ,"Dell Products, L.P.",Thomas Alexander Shows,2013-06-28,2016-05-06,2017-07-25,2017-07-25,https://patents.google.com/patent/US9715415B2/en,https://patentimages.storage.googleapis.com/4d/42/77/4c7a3367fea1a9/US09715415-20170725-D00000.png
