search URL:,https://patents.google.com/?assignee=Hewlett+Packard+Co+%3CHp%3E&oq=assignee:%28HP%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-2008103075-A,Tape leader pin assembly and method for making the same ,"Hewlett Packard Co <Hp>, Internatl Business Machines Corp, Seagate Technology Inc, インターナショナル  ビジネス  マシーンズ  コーポレイション, シーゲイト  テクノロジー  インコーポレイテッドＳｅａｇａｔｅ  Ｔｅｃｈｎｏｌｏｇｙ，  Ｉｎｃ．, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ","Thomas R Albrecht, James Eaton, John A Hamming, Robert R Heinze, Carl R Hoerger, Geoffrey W Mansbridge, Jeffrey S Mcallister, Alten Thomas W Von, アルブレッチト，トーマス，アール．, イートン，ジェイムズ, ハインズ，ロバート，アール．, ハミング，ジョーン，エイ．, アルテン，トーマス，ダブリュ． フォン, ホーリガー，カール，アール．, マックアリスター，ジェフレイ，エス．, マンスブリッジ，ジオフリー，ダブリュ．",1998-04-03,2007-11-29,2008-05-01,,https://patents.google.com/patent/JP2008103075A/en,https://patentimages.storage.googleapis.com/c1/b1/b8/493f84466778a6/2008103075-3.png
JP-2010078612-A,Device for measuring displacement of pattern on moving web ,"Hewlett Packard Co <Hp>, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ","J Tulis Barkley, バークレイ・ジェイ・トゥリス",1998-09-17,2009-12-01,2010-04-08,,https://patents.google.com/patent/JP2010078612A/en,https://patentimages.storage.googleapis.com/b0/01/46/dd0846555baea4/2010078612-3.png
JP-2009196366-A,Apparatus controlled by data from consumable parts with incorporated memory device ,"Hewlett Packard Co <Hp>, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ","Michael L Bullock, Winthrop D Childers, ウィンズロップ・ディー・チルダース, マイケル・エル・ブロック",1997-01-21,2009-04-27,2009-09-03,,https://patents.google.com/patent/JP2009196366A/en,https://patentimages.storage.googleapis.com/39/2e/2e/ba1243ea2821ce/2009196366-3.png
JP-2008217828-A,System and process for notifying fault using local area network ,"Hewlett Packard Co <Hp>, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ","Lawrence Huppert, Thomas J Schmidt, ジェイ  シュミット トーマス, フッパート ローレンス",1997-08-21,2008-05-29,2008-09-18,,https://patents.google.com/patent/JP2008217828A/en,https://patentimages.storage.googleapis.com/a1/97/5a/47001ab806a3cf/2008217828-3.png
JP-2007305109-A,Method and device for capturing interleaved image ,"Hewlett Packard Co <Hp>, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ","Bo U Curry, カリー、ボー、ユー",1997-10-31,2007-03-27,2007-11-22,,https://patents.google.com/patent/JP2007305109A/en,https://patentimages.storage.googleapis.com/37/b5/c5/688f7e820c0f0b/2007305109-3.png
JP-2004288168-A,"Clustering method, program and apparatus ","Hewlett Packard Co <Hp>, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ","Takahiko Kawatani, 隆彦 川谷",2003-03-05,2004-02-06,2004-10-14,,https://patents.google.com/patent/JP2004288168A/en,https://patentimages.storage.googleapis.com/78/10/4e/e588249f09b818/2004288168-26.png
JP-2004145893-A,Operation facilitation method of write-on computer ,"Hewlett Packard Co <Hp>, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ　Ｃｏｍｐａｎｙ","Michael D Derocher, Scott N Hickman, Jan Hippen, Sergey Gary Podwalny, サージェイ・ゲリー・ポッドワルニー, ジャン・ヒッペン, スコット・エヌ・ヒックマン, マイケル・ディー・デローシャー",1992-12-21,2003-12-02,2004-05-20,,https://patents.google.com/patent/JP2004145893A/en,https://patentimages.storage.googleapis.com/96/ec/7d/dd1766c1b68681/2004145893-3.png
JP-2005129077-A,Image restoration method ,"Hewlett Packard Co <Hp>, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ","Richard Oliver Kahn, Stephen Bernard Pollard, ステファン・バーナード・ポラード, リチャード・オリバー・カーン",1997-04-14,2004-12-20,2005-05-19,,https://patents.google.com/patent/JP2005129077A/en,https://patentimages.storage.googleapis.com/ab/02/c6/5d814136148451/2005129077-3.png
JP-2006101539-A,Network transfer arrangement ,"Agilent Technol Inc, Hewlett Packard Co <Hp>, アジレント・テクノロジーズ・インクＡｇｉｌｅｎｔ  Ｔｅｃｈｎｏｌｏｇｉｅｓ，  Ｉｎｃ．, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ","Leonard S Cutler, Joseph A Dara-Abrams, John C Eidson, Robin P Giffard, James L Johnson, Stanley P Woods, ジェームズ・エル・ジョンソン, ジョセフ・アレキサンダー・ダラーアブラムス, ジョン・シー・エイドソン, スタンレイ・ピー・ウッズ, レオナード・エス・カトラー, ロビン・ピー・ギファード",1994-12-21,2005-10-28,2006-04-13,,https://patents.google.com/patent/JP2006101539A/en,https://patentimages.storage.googleapis.com/0d/1a/66/890b3674f4e093/2006101539-3.png
JP-2006127545-A,Apparatus and method for storing and transferring information ,"Hewlett Packard Co <Hp>, ヒューレット・パッカード・カンパニーＨｅｗｌｅｔｔ−Ｐａｃｋａｒｄ  Ｃｏｍｐａｎｙ","Bo U Curry, Daniel Flickinger, ダニエル・フリッキンガー, ボー・ユー・カリー",1993-11-30,2005-12-19,2006-05-18,,https://patents.google.com/patent/JP2006127545A/en,https://patentimages.storage.googleapis.com/8c/36/0f/214be043dff310/2006127545-3.png
